current_rating,unit,unitcap,team,conf,full_strength_rating_season,record,wins,losses,diff,make_playoffs,full_strength_rating_playoffs,make_finals,win_finals
1609,mil,MIL,Bucks7-0,East,1650,54-28,54,28,4.5,0.960,1684,0.190,0.110
1622,phx,PHX,Suns6-1,West,1655,54-28,54,28,4.8,0.960,1679,0.230,0.110
1660,bos,BOS,Celtics4-3,East,1683,54-28,54,28,5,0.970,1716,0.280,0.180
1614,tor,TOR,Raptors5-3,East,1646,52-30,52,30,4.4,0.930,1667,0.140,0.080
1588,den,DEN,Nuggets5-3,West,1611,51-31,51,31,3.2,0.920,1651,0.150,0.070
1599,mem,MEM,Grizzlies5-3,West,1637,51-31,51,31,3.3,0.930,1665,0.180,0.090
1626,dal,DAL,Mavericks4-3,West,1634,51-31,51,31,4,0.920,1658,0.160,0.070
1568,atl,ATL,Hawks5-3,East,1615,49-33,49,33,2.6,0.840,1628,0.070,0.040
1542,cle,CLE,Cavaliers6-1,East,1595,49-33,49,33,2.8,0.840,1618,0.070,0.030
1558,phi,PHI,76ers4-5,East,1625,48-34,48,34,2.7,0.830,1662,0.110,0.060
1531,mia,MIA,Heat4-5,East,1614,47-35,47,35,2.2,0.800,1639,0.080,0.040
1568,no,NO,Pelicans4-3,West,1585,47-35,47,35,2.5,0.800,1602,0.060,0.020
1535,uta,UTA,Jazz6-3,West,1536,44-38,44,38,1,0.680,1542,0.020,0.005
1264,gs,GS,Warriors3-6,West,1598,44-38,44,38,1.4,0.730,1635,0.090,0.040
1550,min,MIN,Timberwolves4-4,West,1567,43-39,43,39,0.9,0.640,1578,0.040,0.010
1498,lac,LAC,Clippers4-4,West,1567,42-40,42,40,-0.1,0.610,1598,0.050,0.020
1533,ny,NY,Knicks3-4,East,1534,39-43,39,43,-0.6,0.370,1537,0.010,0.003
1461,bkn,BKN,Nets2-6,East,1553,39-43,39,43,-0.5,0.420,1571,0.020,0.007
1442,cha,CHA,Hornets3-5,East,1546,39-43,39,43,-0.3,0.410,1565,0.020,0.007
1497,chi,CHI,Bulls5-4,East,1541,38-44,38,44,-1,0.310,1533,0.005,0.002
1342,por,POR,Trail Blazers5-2,West,1506,38-44,38,44,-1.2,0.370,1516,0.009,0.002
1462,ind,IND,Pacers3-5,East,1483,34-48,34,48,-2.4,0.160,1486,0.002,0.000
1445,sa,SA,Spurs5-3,West,1454,34-48,34,48,-3.6,0.160,1460,0.002,0.000
1445,wsh,WSH,Wizards4-4,East,1474,34-48,34,48,-2.6,0.150,1473,0.001,0.000
1433,lal,LAL,Lakers2-5,West,1459,32-50,32,50,-3.2,0.120,1505,0.004,0.001
1450,sac,SAC,Kings2-5,West,1461,32-50,32,50,-3,0.120,1471,0.003,0.000
1390,okc,OKC,Thunder4-4,West,1405,28-54,28,54,-4.9,0.030,1417,0.000,0.000
1358,orl,ORL,Magic2-7,East,1389,24-58,24,58,-5.9,0.009,1393,0.000,0.000
1351,det,DET,Pistons2-7,East,1363,22-60,22,60,-7.3,0.004,1367,0.000,0.000
1305,hou,HOU,Rockets1-8,West,1310,18-64,18,64,-8.7,0.000,1301,0.000,0.000