unit,target,value
mil,season wins,51
tor,season wins,48
bos,season wins,51
mia,season wins,53
phi,season wins,51
bkn,season wins,44
ind,season wins,25
atl,season wins,43
wsh,season wins,35
orl,season wins,22
cha,season wins,43
chi,season wins,46
ny,season wins,37
det,season wins,23
cle,season wins,44
lal,season wins,33
lac,season wins,42
hou,season wins,20
uta,season wins,49
den,season wins,48
dal,season wins,52
no,season wins,36
phx,season wins,64
por,season wins,27
mem,season wins,56
min,season wins,46
sac,season wins,30
sa,season wins,34
gs,season wins,53
okc,season wins,24
mil,win finals,FALSE
tor,win finals,FALSE
bos,win finals,FALSE
mia,win finals,FALSE
phi,win finals,FALSE
bkn,win finals,FALSE
ind,win finals,FALSE
atl,win finals,FALSE
wsh,win finals,FALSE
orl,win finals,FALSE
cha,win finals,FALSE
chi,win finals,FALSE
ny,win finals,FALSE
det,win finals,FALSE
cle,win finals,FALSE
lal,win finals,FALSE
lac,win finals,FALSE
hou,win finals,FALSE
uta,win finals,FALSE
den,win finals,FALSE
dal,win finals,FALSE
no,win finals,FALSE
phx,win finals,FALSE
por,win finals,FALSE
mem,win finals,FALSE
min,win finals,FALSE
sac,win finals,FALSE
sa,win finals,FALSE
gs,win finals,TRUE
okc,win finals,FALSE
mil,make playoffs,TRUE
tor,make playoffs,TRUE
bos,make playoffs,TRUE
mia,make playoffs,TRUE
phi,make playoffs,TRUE
bkn,make playoffs,TRUE
ind,make playoffs,FALSE
atl,make playoffs,TRUE
wsh,make playoffs,FALSE
orl,make playoffs,FALSE
cha,make playoffs,FALSE
chi,make playoffs,TRUE
ny,make playoffs,FALSE
det,make playoffs,FALSE
cle,make playoffs,FALSE
lal,make playoffs,FALSE
lac,make playoffs,FALSE
hou,make playoffs,FALSE
uta,make playoffs,TRUE
den,make playoffs,TRUE
dal,make playoffs,TRUE
no,make playoffs,TRUE
phx,make playoffs,TRUE
por,make playoffs,FALSE
mem,make playoffs,TRUE
min,make playoffs,TRUE
sac,make playoffs,FALSE
sa,make playoffs,FALSE
gs,make playoffs,TRUE
okc,make playoffs,FALSE