timezero,unit,target,value
2020-12-01,mil,season wins,46
2020-12-01,tor,season wins,27
2020-12-01,bos,season wins,36
2020-12-01,mia,season wins,40
2020-12-01,phi,season wins,49
2020-12-01,bkn,season wins,48
2020-12-01,ind,season wins,34
2020-12-01,atl,season wins,41
2020-12-01,wsh,season wins,34
2020-12-01,orl,season wins,21
2020-12-01,cha,season wins,33
2020-12-01,chi,season wins,31
2020-12-01,ny,season wins,41
2020-12-01,det,season wins,20
2020-12-01,cle,season wins,22
2020-12-01,lal,season wins,42
2020-12-01,lac,season wins,47
2020-12-01,hou,season wins,17
2020-12-01,uta,season wins,52
2020-12-01,den,season wins,47
2020-12-01,dal,season wins,42
2020-12-01,no,season wins,31
2020-12-01,phx,season wins,51
2020-12-01,por,season wins,42
2020-12-01,mem,season wins,38
2020-12-01,min,season wins,23
2020-12-01,sac,season wins,31
2020-12-01,sa,season wins,33
2020-12-01,gs,season wins,39
2020-12-01,okc,season wins,22
2020-12-01,mil,win finals,true
2020-12-01,tor,win finals,false
2020-12-01,bos,win finals,false
2020-12-01,mia,win finals,false
2020-12-01,phi,win finals,false
2020-12-01,bkn,win finals,false
2020-12-01,ind,win finals,false
2020-12-01,atl,win finals,false
2020-12-01,wsh,win finals,false
2020-12-01,orl,win finals,false
2020-12-01,cha,win finals,false
2020-12-01,chi,win finals,false
2020-12-01,ny,win finals,false
2020-12-01,det,win finals,false
2020-12-01,cle,win finals,false
2020-12-01,lal,win finals,false
2020-12-01,lac,win finals,false
2020-12-01,hou,win finals,false
2020-12-01,uta,win finals,false
2020-12-01,den,win finals,false
2020-12-01,dal,win finals,false
2020-12-01,no,win finals,false
2020-12-01,phx,win finals,false
2020-12-01,por,win finals,false
2020-12-01,mem,win finals,false
2020-12-01,min,win finals,false
2020-12-01,sac,win finals,false
2020-12-01,sa,win finals,false
2020-12-01,gs,win finals,false
2020-12-01,okc,win finals,false
2020-12-01,mil,make playoffs,true
2020-12-01,tor,make playoffs,false
2020-12-01,bos,make playoffs,true
2020-12-01,mia,make playoffs,true
2020-12-01,phi,make playoffs,true
2020-12-01,bkn,make playoffs,true
2020-12-01,ind,make playoffs,false
2020-12-01,atl,make playoffs,true
2020-12-01,wsh,make playoffs,true
2020-12-01,orl,make playoffs,false
2020-12-01,cha,make playoffs,false
2020-12-01,chi,make playoffs,false
2020-12-01,ny,make playoffs,true
2020-12-01,det,make playoffs,false
2020-12-01,cle,make playoffs,false
2020-12-01,lal,make playoffs,true
2020-12-01,lac,make playoffs,true
2020-12-01,hou,make playoffs,false
2020-12-01,uta,make playoffs,true
2020-12-01,den,make playoffs,true
2020-12-01,dal,make playoffs,true
2020-12-01,no,make playoffs,false
2020-12-01,phx,make playoffs,true
2020-12-01,por,make playoffs,true
2020-12-01,mem,make playoffs,true
2020-12-01,min,make playoffs,false
2020-12-01,sac,make playoffs,false
2020-12-01,sa,make playoffs,false
2020-12-01,gs,make playoffs,false
2020-12-01,okc,make playoffs,false
2020-12-17,mil,season wins,46
2020-12-17,tor,season wins,27
2020-12-17,bos,season wins,36
2020-12-17,mia,season wins,40
2020-12-17,phi,season wins,49
2020-12-17,bkn,season wins,48
2020-12-17,ind,season wins,34
2020-12-17,atl,season wins,41
2020-12-17,wsh,season wins,34
2020-12-17,orl,season wins,21
2020-12-17,cha,season wins,33
2020-12-17,chi,season wins,31
2020-12-17,ny,season wins,41
2020-12-17,det,season wins,20
2020-12-17,cle,season wins,22
2020-12-17,lal,season wins,42
2020-12-17,lac,season wins,47
2020-12-17,hou,season wins,17
2020-12-17,uta,season wins,52
2020-12-17,den,season wins,47
2020-12-17,dal,season wins,42
2020-12-17,no,season wins,31
2020-12-17,phx,season wins,51
2020-12-17,por,season wins,42
2020-12-17,mem,season wins,38
2020-12-17,min,season wins,23
2020-12-17,sac,season wins,31
2020-12-17,sa,season wins,33
2020-12-17,gs,season wins,39
2020-12-17,okc,season wins,22
2020-12-17,mil,win finals,true
2020-12-17,tor,win finals,false
2020-12-17,bos,win finals,false
2020-12-17,mia,win finals,false
2020-12-17,phi,win finals,false
2020-12-17,bkn,win finals,false
2020-12-17,ind,win finals,false
2020-12-17,atl,win finals,false
2020-12-17,wsh,win finals,false
2020-12-17,orl,win finals,false
2020-12-17,cha,win finals,false
2020-12-17,chi,win finals,false
2020-12-17,ny,win finals,false
2020-12-17,det,win finals,false
2020-12-17,cle,win finals,false
2020-12-17,lal,win finals,false
2020-12-17,lac,win finals,false
2020-12-17,hou,win finals,false
2020-12-17,uta,win finals,false
2020-12-17,den,win finals,false
2020-12-17,dal,win finals,false
2020-12-17,no,win finals,false
2020-12-17,phx,win finals,false
2020-12-17,por,win finals,false
2020-12-17,mem,win finals,false
2020-12-17,min,win finals,false
2020-12-17,sac,win finals,false
2020-12-17,sa,win finals,false
2020-12-17,gs,win finals,false
2020-12-17,okc,win finals,false
2020-12-17,mil,make playoffs,true
2020-12-17,tor,make playoffs,false
2020-12-17,bos,make playoffs,true
2020-12-17,mia,make playoffs,true
2020-12-17,phi,make playoffs,true
2020-12-17,bkn,make playoffs,true
2020-12-17,ind,make playoffs,false
2020-12-17,atl,make playoffs,true
2020-12-17,wsh,make playoffs,true
2020-12-17,orl,make playoffs,false
2020-12-17,cha,make playoffs,false
2020-12-17,chi,make playoffs,false
2020-12-17,ny,make playoffs,true
2020-12-17,det,make playoffs,false
2020-12-17,cle,make playoffs,false
2020-12-17,lal,make playoffs,true
2020-12-17,lac,make playoffs,true
2020-12-17,hou,make playoffs,false
2020-12-17,uta,make playoffs,true
2020-12-17,den,make playoffs,true
2020-12-17,dal,make playoffs,true
2020-12-17,no,make playoffs,false
2020-12-17,phx,make playoffs,true
2020-12-17,por,make playoffs,true
2020-12-17,mem,make playoffs,true
2020-12-17,min,make playoffs,false
2020-12-17,sac,make playoffs,false
2020-12-17,sa,make playoffs,false
2020-12-17,gs,make playoffs,false
2020-12-17,okc,make playoffs,false
2021-10-13,mil,season wins,51
2021-10-13,tor,season wins,48
2021-10-13,bos,season wins,51
2021-10-13,mia,season wins,53
2021-10-13,phi,season wins,51
2021-10-13,bkn,season wins,44
2021-10-13,ind,season wins,25
2021-10-13,atl,season wins,43
2021-10-13,wsh,season wins,35
2021-10-13,orl,season wins,22
2021-10-13,cha,season wins,43
2021-10-13,chi,season wins,46
2021-10-13,ny,season wins,37
2021-10-13,det,season wins,23
2021-10-13,cle,season wins,44
2021-10-13,lal,season wins,33
2021-10-13,lac,season wins,42
2021-10-13,hou,season wins,20
2021-10-13,uta,season wins,49
2021-10-13,den,season wins,48
2021-10-13,dal,season wins,52
2021-10-13,no,season wins,36
2021-10-13,phx,season wins,64
2021-10-13,por,season wins,27
2021-10-13,mem,season wins,56
2021-10-13,min,season wins,46
2021-10-13,sac,season wins,30
2021-10-13,sa,season wins,34
2021-10-13,gs,season wins,53
2021-10-13,okc,season wins,24
2021-10-13,mil,win finals,false
2021-10-13,tor,win finals,false
2021-10-13,bos,win finals,false
2021-10-13,mia,win finals,false
2021-10-13,phi,win finals,false
2021-10-13,bkn,win finals,false
2021-10-13,ind,win finals,false
2021-10-13,atl,win finals,false
2021-10-13,wsh,win finals,false
2021-10-13,orl,win finals,false
2021-10-13,cha,win finals,false
2021-10-13,chi,win finals,false
2021-10-13,ny,win finals,false
2021-10-13,det,win finals,false
2021-10-13,cle,win finals,false
2021-10-13,lal,win finals,false
2021-10-13,lac,win finals,false
2021-10-13,hou,win finals,false
2021-10-13,uta,win finals,false
2021-10-13,den,win finals,false
2021-10-13,dal,win finals,false
2021-10-13,no,win finals,false
2021-10-13,phx,win finals,false
2021-10-13,por,win finals,false
2021-10-13,mem,win finals,false
2021-10-13,min,win finals,false
2021-10-13,sac,win finals,false
2021-10-13,sa,win finals,false
2021-10-13,gs,win finals,true
2021-10-13,okc,win finals,false
2021-10-13,mil,make playoffs,true
2021-10-13,tor,make playoffs,true
2021-10-13,bos,make playoffs,true
2021-10-13,mia,make playoffs,true
2021-10-13,phi,make playoffs,true
2021-10-13,bkn,make playoffs,true
2021-10-13,ind,make playoffs,false
2021-10-13,atl,make playoffs,true
2021-10-13,wsh,make playoffs,false
2021-10-13,orl,make playoffs,false
2021-10-13,cha,make playoffs,false
2021-10-13,chi,make playoffs,true
2021-10-13,ny,make playoffs,false
2021-10-13,det,make playoffs,false
2021-10-13,cle,make playoffs,false
2021-10-13,lal,make playoffs,false
2021-10-13,lac,make playoffs,false
2021-10-13,hou,make playoffs,false
2021-10-13,uta,make playoffs,true
2021-10-13,den,make playoffs,true
2021-10-13,dal,make playoffs,true
2021-10-13,no,make playoffs,true
2021-10-13,phx,make playoffs,true
2021-10-13,por,make playoffs,false
2021-10-13,mem,make playoffs,true
2021-10-13,min,make playoffs,true
2021-10-13,sac,make playoffs,false
2021-10-13,sa,make playoffs,false
2021-10-13,gs,make playoffs,true
2021-10-13,okc,make playoffs,false
2021-10-19,mil,season wins,51
2021-10-19,tor,season wins,48
2021-10-19,bos,season wins,51
2021-10-19,mia,season wins,53
2021-10-19,phi,season wins,51
2021-10-19,bkn,season wins,44
2021-10-19,ind,season wins,25
2021-10-19,atl,season wins,43
2021-10-19,wsh,season wins,35
2021-10-19,orl,season wins,22
2021-10-19,cha,season wins,43
2021-10-19,chi,season wins,46
2021-10-19,ny,season wins,37
2021-10-19,det,season wins,23
2021-10-19,cle,season wins,44
2021-10-19,lal,season wins,33
2021-10-19,lac,season wins,42
2021-10-19,hou,season wins,20
2021-10-19,uta,season wins,49
2021-10-19,den,season wins,48
2021-10-19,dal,season wins,52
2021-10-19,no,season wins,36
2021-10-19,phx,season wins,64
2021-10-19,por,season wins,27
2021-10-19,mem,season wins,56
2021-10-19,min,season wins,46
2021-10-19,sac,season wins,30
2021-10-19,sa,season wins,34
2021-10-19,gs,season wins,53
2021-10-19,okc,season wins,24
2021-10-19,mil,win finals,false
2021-10-19,tor,win finals,false
2021-10-19,bos,win finals,false
2021-10-19,mia,win finals,false
2021-10-19,phi,win finals,false
2021-10-19,bkn,win finals,false
2021-10-19,ind,win finals,false
2021-10-19,atl,win finals,false
2021-10-19,wsh,win finals,false
2021-10-19,orl,win finals,false
2021-10-19,cha,win finals,false
2021-10-19,chi,win finals,false
2021-10-19,ny,win finals,false
2021-10-19,det,win finals,false
2021-10-19,cle,win finals,false
2021-10-19,lal,win finals,false
2021-10-19,lac,win finals,false
2021-10-19,hou,win finals,false
2021-10-19,uta,win finals,false
2021-10-19,den,win finals,false
2021-10-19,dal,win finals,false
2021-10-19,no,win finals,false
2021-10-19,phx,win finals,false
2021-10-19,por,win finals,false
2021-10-19,mem,win finals,false
2021-10-19,min,win finals,false
2021-10-19,sac,win finals,false
2021-10-19,sa,win finals,false
2021-10-19,gs,win finals,true
2021-10-19,okc,win finals,false
2021-10-19,mil,make playoffs,true
2021-10-19,tor,make playoffs,true
2021-10-19,bos,make playoffs,true
2021-10-19,mia,make playoffs,true
2021-10-19,phi,make playoffs,true
2021-10-19,bkn,make playoffs,true
2021-10-19,ind,make playoffs,false
2021-10-19,atl,make playoffs,true
2021-10-19,wsh,make playoffs,false
2021-10-19,orl,make playoffs,false
2021-10-19,cha,make playoffs,false
2021-10-19,chi,make playoffs,true
2021-10-19,ny,make playoffs,false
2021-10-19,det,make playoffs,false
2021-10-19,cle,make playoffs,false
2021-10-19,lal,make playoffs,false
2021-10-19,lac,make playoffs,false
2021-10-19,hou,make playoffs,false
2021-10-19,uta,make playoffs,true
2021-10-19,den,make playoffs,true
2021-10-19,dal,make playoffs,true
2021-10-19,no,make playoffs,true
2021-10-19,phx,make playoffs,true
2021-10-19,por,make playoffs,false
2021-10-19,mem,make playoffs,true
2021-10-19,min,make playoffs,true
2021-10-19,sac,make playoffs,false
2021-10-19,sa,make playoffs,false
2021-10-19,gs,make playoffs,true
2021-10-19,okc,make playoffs,false
